Authors with affiliations,EID
"Abe, K., Institute for Cosmic Ray Research, Kamioka Observatory, University of Tokyo, Kamioka, Japan; Amey, J., Department of Physics, Imperial College London, London, United Kingdom; Andreopoulos, C., Department of Physics, University of Liverpool, Liver",2-s2.0-85017464221
"Abe, K., Institute for Cosmic Ray Research, University of Tokyo, Kamioka Observatory, Kamioka, Japan; Andreopoulos, C., Department of Physics, University of Liverpool, Liverpool, United Kingdom, STFC, Rutherford Appleton Laboratory, Harwell Oxford, United",2-s2.0-84994644371
"Abe, K., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Haga, K., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Hayato, Y., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Ikeda, M., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Iyogi, K., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Kameda, J., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Kishimoto, Y., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Miura, M., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Moriyama, S., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Nakahata, M., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Nakajima, T., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Nakano, Y., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Nakayama, S., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Orii, A., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Sekiya, H., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Shiozawa, M., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Takeda, A., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Tanaka, H., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Tasaka, S., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan; Tomura, T., Kamioka Observatory, Institute for Cosmic Ray Research, University of Tokyo, Kamioka, Gifu, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Akutsu, R., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan; Kajita, T., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Kaneyuki, K., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Nishimura, Y., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan; Richard, E., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan; Okumura, K., Research Center for Cosmic Neutrinos, Institute for Cosmic Ray Research, University of Tokyo, Chiba, Kashiwa, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Labarga, L., Department of Theoretical Physics, University Autonoma Madrid, Madrid, Spain; Fernandez, P., Department of Theoretical Physics, University Autonoma Madrid, Madrid, Spain; Blaszczyk, F.D.M., Department of Physics, Boston University, Boston, MA, United States; Gustafson, J., Department of Physics, Boston University, Boston, MA, United States; Kachulis, C., Department of Physics, Boston University, Boston, MA, United States; Kearns, E., Department of Physics, Boston University, Boston, MA, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Raaf, J.L., Department of Physics, Boston University, Boston, MA, United States; Stone, J.L., Department of Physics, Boston University, Boston, MA, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Sulak, L.R., Department of Physics, Boston University, Boston, MA, United States; Berkman, S., Department of Physics and Astronomy, University of British Columbia, Vancouver, BC, Canada; Nantais, C.M., Department of Physics and Astronomy, University of British Columbia, Vancouver, BC, Canada; Tobayama, S., Department of Physics and Astronomy, University of British Columbia, Vancouver, BC, Canada; Goldhaber, M., Physics Department, Brookhaven National Laboratory, Upton, NY, United States; Kropp, W.R., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States; Mine, S., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States; Weatherly, P., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States; Smy, M.B., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Sobel, H.W., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Takhistov, V., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States; Ganezer, K.S., Department of Physics, California State University, Carson, CA, United States; Hartfiel, B.L., Department of Physics, California State University, Carson, CA, United States; Hill, J., Department of Physics, California State University, Carson, CA, United States; Hong, N., Department of Physics, Chonnam National University, Kwangju, South Korea; Kim, J.Y., Department of Physics, Chonnam National University, Kwangju, South Korea; Lim, I.T., Department of Physics, Chonnam National University, Kwangju, South Korea; Park, R.G., Department of Physics, Chonnam National University, Kwangju, South Korea; Himmel, A., Department of Physics, Duke University, Durham, NC, United States; Li, Z., Department of Physics, Duke University, Durham, NC, United States; O'Sullivan, E., Department of Physics, Duke University, Durham, NC, United States; Scholberg, K., Department of Physics, Duke University, Durham, NC, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Walter, C.W., Department of Physics, Duke University, Durham, NC, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Ishizuka, T., Junior College, Fukuoka Institute of Technology, Fukuoka, Fukuoka, Japan; Nakamura, T., Department of Physics, Gifu University, Gifu, Gifu, Japan; Jang, J.S., GIST College, Gwangju Institute of Science and Technology, Gwangju, South Korea; Choi, K., Department of Physics and Astronomy, University of Hawaii, Honolulu, HI, United States; Learned, J.G., Department of Physics and Astronomy, University of Hawaii, Honolulu, HI, United States; Matsuno, S., Department of Physics and Astronomy, University of Hawaii, Honolulu, HI, United States; Smith, S.N., Department of Physics and Astronomy, University of Hawaii, Honolulu, HI, United States; Friend, M., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Hasegawa, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Ishida, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Ishii, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Kobayashi, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Nakadaira, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Nakamura, K., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Oyama, Y., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Sakashita, K., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Sekiguchi, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Tsukamoto, T., High Energy Accelerator Research Organization (KEK), Ibaraki, Tsukuba, Japan; Suzuki, A.T., Department of Physics, Kobe University, Hyogo, Kobe, Japan; Takeuchi, Y., Department of Physics, Kobe University, Hyogo, Kobe, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Yano, T., Department of Physics, Kobe University, Hyogo, Kobe, Japan; Cao, S.V., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Hiraki, T., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Hirota, S., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Huang, K., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Jiang, M., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Minamino, A., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Nakaya, T., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Patel, N.D., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Wendell, R.A., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Suzuki, K., Department of Physics, Kyoto University, Kyoto, Kyoto, Japan; Fukuda, Y., Department of Physics, Miyagi University of Education, Miyagi, Sendai, Japan; Itow, Y., Institute for Space-Earth Environmental Research, Nagoya University, Aichi, Nagoya, Japan, Kobayashi-Maskawa Institute for the Origin of Particles and the Universe, Nagoya University, Aichi, Nagoya, Japan; Suzuki, T., Institute for Space-Earth Environmental Research, Nagoya University, Aichi, Nagoya, Japan; Mijakowski, P., National Centre for Nuclear Research, Warsaw, Poland; Frankiewicz, K., National Centre for Nuclear Research, Warsaw, Poland; Hignight, J., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Imber, J., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Jung, C.K., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Li, X., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Palomino, J.L., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Santucci, G., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Wilking, M.J., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Yanagisawa, C., Department of Physics and Astronomy, State University of New York at Stony Brook, Stony Brook, NY, United States; Fukuda, D., Department of Physics, Okayama University, Okayama, Okayama, Japan; Ishino, H., Department of Physics, Okayama University, Okayama, Okayama, Japan; Kayano, T., Department of Physics, Okayama University, Okayama, Okayama, Japan; Kibayashi, A., Department of Physics, Okayama University, Okayama, Okayama, Japan; Koshio, Y., Department of Physics, Okayama University, Okayama, Okayama, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Mori, T., Department of Physics, Okayama University, Okayama, Okayama, Japan; Sakuda, M., Department of Physics, Okayama University, Okayama, Okayama, Japan; Xu, C., Department of Physics, Okayama University, Okayama, Okayama, Japan; Kuno, Y., Department of Physics, Osaka University, Osaka, Toyonaka, Japan; Tacik, R., Department of Physics, University of Regina, 3737 Wascana Parkway, Regina, SK, Canada, TRIUMF, 4004 Wesbrook Mall, Vancouver, BC, Canada; Kim, S.B., Department of Physics, Seoul National University, Seoul, South Korea; Okazawa, H., Department of Informatics in Social Welfare, Shizuoka University of Welfare, Yaizu, Shizuoka, Japan; Choi, Y., Department of Physics, Sungkyunkwan University, Suwon, South Korea; Nishijima, K., Department of Physics, Tokai University, Kanagawa, Hiratsuka, Japan; Koshiba, M., University of Tokyo, Bunkyo, Tokyo, Japan; Totsuka, Y., University of Tokyo, Bunkyo, Tokyo, Japan; Suda, Y., Department of Physics, University of Tokyo, Bunkyo, Tokyo, Japan; Yokoyama, M., Department of Physics, University of Tokyo, Bunkyo, Tokyo, Japan, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Bronner, C., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Calland, R.G., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Hartz, M., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Martens, K., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Marti, L., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Suzuki, Y., Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Vagins, M.R., Department of Physics and Astronomy, University of California, Irvine, Irvine, CA, United States, Kavli Institute for the Physics and Mathematics of the Universe (WPI), University of Tokyo Institutes for Advanced Study, University of Tokyo, Chiba, Kashiwa, Japan; Martin, J.F., Department of Physics, University of Toronto, 60 St. George Street, Toronto, ON, Canada; Tanaka, H.A., Department of Physics, University of Toronto, 60 St. George Street, Toronto, ON, Canada; Konaka, A., TRIUMF, 4004 Wesbrook Mall, Vancouver, BC, Canada; Chen, S., Department of Engineering Physics, Tsinghua University, Beijing, China; Wan, L., Department of Engineering Physics, Tsinghua University, Beijing, China; Zhang, Y., Department of Engineering Physics, Tsinghua University, Beijing, China; Wilkes, R.J., Department of Physics, University of Washington, Seattle, WA, United States",2-s2.0-84991687174
"Kajita, T., Institute for Cosmic Ray Research, University of Tokyo, Japan",2-s2.0-84988961191
